단어,뜻
wisdom [wízdǝm],지혜
twinkle [twíŋkəl],반짝이다
metal [métl],금속
steel [stiːl],강철
reserve [rizə́ːrv],"비축하다, 떼어두다; 예약하다"
type [taip],"유형, 종류"
continent [kάntǝnǝnt],대륙
sign [sain],"기호, 신호; 징후, 조짐; 서명하다"
signal [sígnəl],신호
skip [skip],"폴짝 뛰다, 뛰어넘다; (일을) 거르다"
vote [vout],투표하다
tear – tore – torn [tiǝr],찢다; 눈물
uneasy [ʌníːzi],"불안한, 불편한"
crowded [kráudid],"붐비는, 혼잡한"
stripe [straip],줄무늬
childish [tʃáildiʃ],유치한
childlike [tʃáildlàik],아이다운
block [blɑk],막다; 장애물
fund [fʌnd],"기금, 자금"
found [faund],"설립하다, 세우다"
pepper [pépǝr],후추; 고추
complete [kǝmplíːt],완전한; 완성하다
ordinary [ɔ́ːrdənèri],"보통의, 평범한"
niece [niːs],(여자) 조카
nephew [néfjuː],(남자) 조카
since [sins],~이래로(~이후로 줄곧 지금까지)
owl [aul],올빼미
expert [ékspǝːrt],전문가
source [sɔːrs],"출처, 원천"
govern [gʌ́vǝrn],"통치하다, 다스리다"
proverb [prάvǝːrb],속담
spend [spend],"쓰다, 소비하다"
habit [hǽbit],습관
century [séntʃuri],세기(100년)
term [tǝːrm],"기간, 학기; 용어; 약정; 관계, 사이"
earthquake [ə́ːrθkwèik],지진
width [widθ],너비
length [leŋkθ],길이
depth [depθ],깊이
height [hait],"높이, 키"
skill [skil],"기술, 솜씨"
skillful [skílfǝl],"숙련된, 능숙한"
recover [rikʌ́vǝr],"되찾다, 회복하다, 복구되다"
recovery [rikʌ́vəri],회복
bark [bɑːrk],짖다; 나무껍질
rush [rʌʃ],"돌진하다, 달려들다"
figure [fígjǝr],"수치, 값; 인물; 상징, 비유; 계산하다; 비유하다; 생각해내다"
local [lóukəl],"지역의, 현지의"
recall [rikɔ́ːl],"상기하다, 생각해내다"
rapid [rǽpid],빠른
